date,city,population,case,death,rate
2023-06-01 00:00:00,Andover,3236.0,614.0,6.0,0.0
2023-06-01 00:00:00,Ansonia,18654.0,6074.0,62.0,56.500258494071616
2023-06-01 00:00:00,Ashford,4255.0,874.0,7.0,0.0
2023-06-01 00:00:00,Avon,18276.0,3822.0,89.0,72.96950195177749
2023-06-01 00:00:00,Barkhamsted,3606.0,649.0,12.0,0.0
2023-06-01 00:00:00,Beacon Falls,6222.0,1601.0,13.0,58.85205398059663
2023-06-01 00:00:00,Berlin,20436.0,5056.0,59.0,67.37280845399218
2023-06-01 00:00:00,Bethany,5548.0,1222.0,5.0,0.0
2023-06-01 00:00:00,Bethel,19800.0,4876.0,74.0,68.03960359849692
2023-06-01 00:00:00,Bethlehem,3402.0,714.0,7.0,0.0
2023-06-01 00:00:00,Bloomfield,21211.0,6142.0,152.0,28.2872
2023-06-01 00:00:00,Bolton,4884.0,930.0,7.0,0.0
2023-06-01 00:00:00,Bozrah,2726.0,740.0,10.0,0.0
2023-06-01 00:00:00,Branford,27900.0,7543.0,99.0,0.0
2023-06-01 00:00:00,Bridgeport,144399.0,48917.0,486.0,6.2327
2023-06-01 00:00:00,Bridgewater,1635.0,253.0,1.0,0.0
2023-06-01 00:00:00,Bristol,59947.0,17382.0,252.0,8.3407
2023-06-01 00:00:00,Brookfield,16973.0,4419.0,30.0,62.94454773054982
2023-06-01 00:00:00,Brooklyn,8272.0,2430.0,22.0,0.0
2023-06-01 00:00:00,Burlington,9704.0,2114.0,10.0,0.0
2023-06-01 00:00:00,Canaan,1053.0,39.0,0.0,0.0
2023-06-01 00:00:00,Canterbury,5079.0,1326.0,5.0,57.9278846879535
2023-06-01 00:00:00,Canton,10254.0,1910.0,41.0,66.77064887824096
2023-06-01 00:00:00,Chaplin,2239.0,502.0,5.0,0.0
2023-06-01 00:00:00,Cheshire,28937.0,7900.0,90.0,67.15320129777874
2023-06-01 00:00:00,Chester,4213.0,751.0,20.0,0.0
2023-06-01 00:00:00,Clinton,12925.0,3229.0,21.0,62.18222544429325
2023-06-01 00:00:00,Colchester,15809.0,3714.0,54.0,66.64203708965476
2023-06-01 00:00:00,Colebrook,1400.0,171.0,2.0,0.0
2023-06-01 00:00:00,Columbia,5379.0,1163.0,13.0,60.13214575930988
2023-06-01 00:00:00,Cornwall,1362.0,232.0,2.0,0.0
2023-06-01 00:00:00,Coventry,12407.0,2563.0,14.0,65.41574411570797
2023-06-01 00:00:00,Cromwell,13839.0,3507.0,73.0,64.83287750322259
2023-06-01 00:00:00,Danbury,84694.0,23490.0,244.0,0.0
2023-06-01 00:00:00,Darien,21728.0,4532.0,17.0,71.71567174782467
2023-06-01 00:00:00,Deep River,4443.0,899.0,3.0,0.0
2023-06-01 00:00:00,Derby,12339.0,3823.0,33.0,0.0
